,Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual,CODE,TYPE
84,Azerbaijan,85,5.234000206,1.153601766,1.152400255,0.540775776,0.398155838,0.04526934,0.180987507,1.7624816890000001,AZE,developing
85,Dominican Republic,86,5.230000018999999,1.0793738370000001,1.402416706,0.574873745,0.552589834,0.18696785,0.11394525300000001,1.31946516,DOM,developing
86,Greece,87,5.2270002369999995,1.2894874809999999,1.239414573,0.810198903,0.09573125099999999,0.0,0.043289777,1.749221563,GRC,developed
87,Lebanon,88,5.224999905,1.0749875309999999,1.129624248,0.735081077,0.288515985,0.264450759,0.03751383,1.695073843,LBN,developing
88,Portugal,89,5.195000172,1.315175295,1.3670430180000002,0.7958435420000001,0.4984653,0.095102713,0.015869452,1.107682705,PRT,developed
89,Bosnia and Herzegovina,90,5.18200016,0.9824094179999999,1.069335938,0.7051863070000001,0.204403177,0.328867495,0.0,1.892172575,BIH,developing
90,Honduras,91,5.181000233,0.730573118,1.143944979,0.58256948,0.34807986,0.236188874,0.073345453,2.0658111569999997,HND,developing
91,Macedonia,92,5.1750001910000005,1.0645779370000001,1.2078930140000002,0.644948184,0.325905979,0.253760964,0.060277794,1.617469311,MKD,developed
92,Somalia,93,5.151000023,0.022643184,0.721151352,0.11398913699999999,0.602126956,0.291631311,0.282410324,3.11748457,SOM,least
93,Vietnam,94,5.073999882,0.788547575,1.277491331,0.652168989,0.571055591,0.234968051,0.08763323699999999,1.4623186590000001,VNM,developing
94,Nigeria,95,5.073999882,0.783756256,1.215770483,0.05691573,0.394952565,0.23094719600000002,0.026121566000000002,2.365390539,NGA,developing
95,Tajikistan,96,5.040999889,0.524713635,1.271463275,0.529235125,0.47156670700000003,0.248997644,0.14637714599999999,1.84904933,TJK,developing
96,Bhutan,97,5.011000156000001,0.8854163890000001,1.340126514,0.495879292,0.5015376810000001,0.474054545,0.17338039,1.140184402,BTN,least
97,Kyrgyzstan,98,5.004000187,0.596220076,1.394238591,0.5534577970000001,0.454943389,0.428580374,0.039439179,1.5367231369999999,KGZ,developing
98,Nepal,99,4.961999893,0.47982019200000003,1.179283261,0.504130781,0.44030594799999995,0.394096166,0.072975546,1.891241074,NPL,least
99,Mongolia,100,4.954999924,1.0272358659999998,1.4930112359999999,0.557783484,0.394143969,0.33846423,0.032902289,1.111292362,MNG,developing
100,South Africa,101,4.828999996,1.054698706,1.3847886319999998,0.18708007,0.479246736,0.13936238,0.072509497,1.5109086040000002,ZAF,developing
101,Tunisia,102,4.804999828,1.007265806,0.86835146,0.613212049,0.28968069,0.049693357,0.086723149,1.89025116,Tunisia,developing
102,Palestinian Territories,103,4.775000095,0.716249228,1.1556471590000001,0.565666974,0.254711062,0.114173174,0.08928260199999999,1.878890276,,least
103,Egypt,104,4.735000134,0.989701807,0.997471392,0.520187259,0.282110155,0.128631443,0.114381365,1.7021610740000002,EGY,developing
104,Bulgaria,105,4.714000225,1.161459088,1.4343794580000002,0.70821768,0.289231718,0.11317769400000001,0.011051531000000002,0.996139288,BGR,developed
105,Sierra Leone,106,4.709000111,0.368420929,0.984136045,0.005564754,0.318697691,0.293040901,0.071095176,2.668459892,SLE,least
106,Cameroon,107,4.695000172,0.564305365,0.946018219,0.132892117,0.43038874899999996,0.236298457,0.051306631,2.333645582,CMR,developing
107,Iran,108,4.691999912,1.156873107,0.7115512490000001,0.639333189,0.249322608,0.38724291299999997,0.048761072999999995,1.4987349509999999,IRN,developing
108,Albania,109,4.644000053,0.996192753,0.803685248,0.7311597470000001,0.381498635,0.201312944,0.039864216,1.490441561,ALB,developing
109,Bangladesh,110,4.607999802,0.586682975,0.7351317409999999,0.533241034,0.47835665899999996,0.172255352,0.123717859,1.978736162,BGD,least
110,Namibia,111,4.573999882,0.9644343259999999,1.098470807,0.33861181100000004,0.520303547,0.077133745,0.093146972,1.481890202,NAM,developing
111,Kenya,112,4.552999973,0.560479462,1.0679507259999999,0.30998835,0.452763766,0.444860309,0.064641319,1.651902199,KEN,developing
112,Mozambique,113,4.5500001910000005,0.23430565,0.870701015,0.106654435,0.48079109200000003,0.32222810399999996,0.179436386,2.355650902,MOZ,least
113,Myanmar,114,4.545000076,0.36711055,1.123235941,0.397522569,0.514492035,0.8380751609999999,0.188816205,1.115290403,,least
114,Senegal,115,4.534999847,0.47930902200000003,1.179691911,0.40936285299999997,0.37792226700000003,0.183468893,0.11546044800000001,1.789646149,SEN,least
115,Zambia,116,4.513999939,0.636406779,1.0031872990000001,0.257835895,0.461603492,0.249580145,0.07821355,1.826705456,ZMB,least
116,Iraq,117,4.497000217,1.102710485,0.978613198,0.50118047,0.28855553300000003,0.19963726399999998,0.107215755,1.3189072609999999,IRQ,developing
117,Gabon,118,4.465000153,1.198210239,1.155620217,0.356578588,0.312328577,0.043785378,0.076046787,1.322916269,GAB,developing
118,Ethiopia,119,4.460000038,0.339233845,0.864669204,0.353409708,0.40884274200000004,0.31265074,0.165455714,2.015743732,ETH,least
119,Sri Lanka,120,4.440000057,1.009850144,1.259976387,0.6251308320000001,0.561213255,0.49086356200000003,0.073653966,0.419389248,LKA,developing
120,Armenia,121,4.375999928,0.900596738,1.0074837209999998,0.637524426,0.198303267,0.083488092,0.026674422000000003,1.5214991569999998,ARM,developing
121,India,122,4.315000057,0.7922212479999999,0.754372597,0.455427617,0.469987005,0.231538489,0.092226885,1.519117117,IND,developing
