,Happiness Rank,Country,Happiness Score,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual,CODE,TYPE
26,27,Panama,6.43,1.112,1.4380000000000002,0.759,0.597,0.125,0.063,2.399,PAN,developed
27,28,Brazil,6.419,0.986,1.474,0.675,0.493,0.11,0.08800000000000001,2.681,BRA,developing
28,29,Argentina,6.388,1.073,1.4680000000000002,0.7440000000000001,0.57,0.062,0.054000000000000006,2.471,ARG,developing
29,30,Guatemala,6.382000000000001,0.7809999999999999,1.268,0.608,0.604,0.179,0.071,2.9419999999999997,GTM,developing
30,31,Uruguay,6.379,1.093,1.459,0.7709999999999999,0.625,0.13,0.155,2.301,URY,developed
31,32,Qatar,6.374,1.649,1.3030000000000002,0.748,0.654,0.256,0.171,1.764,QAT,developing
32,33,Saudi Arabia,6.371,1.379,1.331,0.633,0.509,0.098,0.127,2.421,SAU,developing
33,34,Singapore,6.343,1.5290000000000001,1.4509999999999998,1.008,0.631,0.261,0.457,1.463,SGP,developed
34,35,Malaysia,6.322,1.161,1.258,0.669,0.35600000000000004,0.311,0.059000000000000004,2.5669999999999997,MYS,developing
35,36,Spain,6.31,1.251,1.538,0.965,0.449,0.142,0.07400000000000001,1.965,ESP,developed
36,37,Colombia,6.26,0.96,1.439,0.635,0.531,0.099,0.039,2.596,COL,developing
37,38,Trinidad and Tobago,6.192,1.2229999999999999,1.492,0.564,0.575,0.171,0.019,2.167,TTO,developing
38,39,Slovakia,6.172999999999999,1.21,1.537,0.7759999999999999,0.354,0.11800000000000001,0.013999999999999999,2.178,SVK,developed
39,40,El Salvador,6.167000000000001,0.8059999999999999,1.2309999999999999,0.639,0.461,0.065,0.08199999999999999,2.965,SLV,developing
40,41,Nicaragua,6.141,0.6679999999999999,1.319,0.7,0.527,0.20800000000000002,0.128,2.719,NIC,developing
41,42,Poland,6.122999999999999,1.176,1.4480000000000002,0.7809999999999999,0.546,0.10800000000000001,0.064,2.064,POL,developed
42,43,Bahrain,6.105,1.338,1.3659999999999999,0.698,0.594,0.243,0.12300000000000001,1.8659999999999999,BHR,developed
43,44,Uzbekistan,6.096,0.7190000000000001,1.584,0.605,0.7240000000000001,0.32799999999999996,0.259,2.136,UZB,developing
